"","Sample0528","Sample0522","Sample0554","Sample0556","Sample0527","Sample0565","Sample0525","Sample0523","Sample0524","Sample0560","Sample0564","Sample0557","Sample0521","Sample0591","Sample0559","Sample0558","Sample0598","Sample0563","Sample0520","Sample0561","Sample0526","Sample0562","Sample0599","Sample0529","Sample0519","Sample0518","Sample0555","Sample0600","Sample0337","Sample0303","Sample0293","Sample0338","Sample0339","Sample0331","Sample0302","Sample0336","Sample0330","Sample0335","Sample0295","Sample0329","Sample0332","Sample0300","Sample0301","Sample0340","Sample0297","Sample0296","Sample0299","Sample0292","Sample0334","Sample0333","Sample0298","Sample0291","Sample0487","Sample0488","Sample0492","Sample0484","Sample0493","Sample0482","Sample0485","Sample0486","Sample0490","Sample0481","Sample0491","Sample0489"
"OTU_173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5977,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_131",205,389,69,169,80,66,68,214,522,351,839,191,154,948,30,47,285,48,362,194,243,162,0,217,97,176,28,8,12,16,0,5,42,53,15,240,66,26,51,56,276,0,0,5,117,0,0,116,30,125,0,150,13,31,8,4,3,4,43,4,7,3,0,0
"OTU_373",0,0,0,1,0,0,0,0,0,0,0,55,12,0,26,0,0,0,0,54,20,135,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_5156",6,133,5,10,0,71,16,22,42,31,157,165,11,368,7,0,1,0,15,0,0,71,0,0,4,0,10,0,0,0,0,261,0,0,0,14,0,12,0,3,0,0,9,0,229,0,0,0,0,0,0,41,1,0,32,0,0,13,12,0,0,1,8,0
"OTU_195",26,0,0,0,0,0,0,0,1,0,28,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,6,0,31,0,27,0,55,107,5,44,0,37,48,44,0,205,0,0,0,67,0,10,0,9,10,0,0,0,0,20,0,0
"OTU_262",11,0,0,0,0,6,0,29,17,10,0,11,43,10,0,0,13,0,0,0,0,18,0,0,0,0,7,0,0,0,12,46,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,3,0,12,0,0
"OTU_497",5,0,0,0,66,0,0,0,0,13,0,0,0,0,11,23,0,0,0,0,110,0,0,0,61,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_7036",9,380,41,24,89,4,0,366,13,138,3,29,2265,130,53,358,60,0,413,94,327,34,0,272,390,180,48,1,0,65,198,0,311,0,49,15,10,0,70,0,8,334,0,129,0,0,22,244,0,0,69,14,0,2,0,0,0,0,0,0,3,0,8,0
"OTU_49",171,0,0,61,0,3,0,0,0,722,0,0,0,10,0,0,73,287,127,0,24,16,0,0,0,0,112,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,5,0
"OTU_387",0,0,0,0,7,27,20,0,0,47,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,113,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_411",0,0,0,0,0,0,0,0,0,67,0,0,9,0,28,0,0,0,46,170,15,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_669",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"OTU_4175",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_592",0,0,0,0,0,17,0,0,309,105,0,0,0,0,0,4,0,69,0,0,0,0,0,0,0,0,0,0,127,0,0,0,71,0,10,254,11,0,0,0,24,0,0,133,0,0,0,0,0,4,0,0,0,3,3,0,0,5,77,0,0,3,0,0
