"","Sample0636","Sample0637","Sample0673","Sample0670","Sample0709","Sample0630","Sample0632","Sample0640","Sample0671","Sample0676","Sample0710","Sample0668","Sample0674","Sample0669","Sample0665","Sample0672","Sample0639","Sample0666","Sample0629","Sample0638","Sample0633","Sample0635","Sample0702","Sample0675","Sample0631","Sample0667","Sample0634","Sample0711","Sample0036","Sample0038","Sample0075","Sample0122","Sample0123","Sample0027","Sample0120","Sample0070","Sample0026","Sample0121","Sample0116","Sample0028","Sample0034","Sample0033","Sample0111","Sample0113","Sample0117","Sample0035","Sample0069","Sample0037","Sample0118","Sample0115","Sample0073","Sample0066","Sample0030","Sample0068","Sample0067","Sample0032","Sample0114","Sample0071","Sample0065","Sample0031","Sample0119","Sample0072","Sample0064","Sample0074"
"OTU_82",0,0,72,253,0,68,0,0,0,24,9,0,2,22,145,0,6,0,0,43,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"OTU_52",0,157,1351,6,28,61,0,514,42,160,25,60,10,16,2057,127,151,0,42,0,285,32,0,0,77,4,18,1,3,0,0,0,1,0,13,27,69,4,50,0,16,0,4,13,10,0,0,77,5,15,0,0,0,23,2,42,1,25,0,0,0,0,0,0
"OTU_1659",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_7",562,1039,2839,13850,4851,3313,13669,611,16708,3485,0,3703,14573,5838,5504,206,2660,347,6236,4640,435,914,2569,3769,1687,668,4282,59,1406,902,735,61,1409,706,1228,2443,7474,813,1966,305,220,1446,1828,91,558,3374,1948,997,40,1217,801,124,515,5825,330,407,298,470,161,31,4,0,0,0
"OTU_169",0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_14",4,0,11652,62,827,2205,384,0,6095,140,0,302,935,63,2012,13,860,389,519,159,134,132,115,0,347,37,0,1,27,353,45,11,2505,39,109,158,57,39,90,0,40,883,116,27,53,498,474,56,10,631,252,27,7,160,5,2,21,135,48,0,0,0,0,0
"OTU_256",0,0,15,13,0,49,0,0,0,0,10,0,0,53,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_131",1,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,30,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_373",0,0,12,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_5156",0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,1,0,0,0,0,0,50,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_262",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_497",0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_7036",26,0,10404,10,0,8,80,15,468,123,74,1,23,41,16721,600,251,0,61,0,2721,9,0,0,20,17,1,1,4,4,4,5,4,0,3,6,1,16,118,0,22,0,1,17,16,9,14,0,2,5,15,0,0,3,2,0,0,0,19,0,0,0,0,0
"OTU_49",0,301,11,0,2468,0,0,0,19508,87,1,0,8068,0,1,0,2250,5175,145,0,0,210,2276,599,1039,984,127,66,9,77,232,0,73,69,94,202,279,141,190,57,0,1846,127,0,20,386,84,69,4,432,23,32,26,125,16,9,63,0,11,0,0,0,0,0
"OTU_387",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_411",0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4175",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_592",0,0,0,0,0,0,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
