"","Sample0538","Sample0541","Sample0570","Sample0530","Sample0571","Sample0532","Sample0496","Sample0504","Sample0499","Sample0502","Sample0536","Sample0534","Sample0575","Sample0537","Sample0501","Sample0503","Sample0577","Sample0533","Sample0497","Sample0494","Sample0566","Sample0500","Sample0535","Sample0531","Sample0567","Sample0569","Sample0495","Sample0573","Sample0576","Sample0505","Sample0498","Sample0540","Sample0574","Sample0568","Sample0539","Sample0572","Sample0133","Sample0136","Sample0135","Sample0141","Sample0132","Sample0139","Sample0131","Sample0140","Sample0130","Sample0138","Sample0137","Sample0134","Sample0278","Sample0307","Sample0310","Sample0266","Sample0273","Sample0268","Sample0270","Sample0269","Sample0313","Sample0316","Sample0308","Sample0309","Sample0305","Sample0271","Sample0277","Sample0315","Sample0274","Sample0272","Sample0280","Sample0312","Sample0306","Sample0276","Sample0314","Sample0311"
"OTU_4407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_760",0,0,0,0,0,0,9,4,0,40,4,171,27,0,0,49,0,0,1,95,44,0,76,0,34,0,90,2,10,1,0,0,31,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,16,17,1,83,17,50,12,13,5,0,0,0,0,42,17,2,30,38,26,0,0,47,0,0
"OTU_4844",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_447",0,21,0,28,0,6,0,1,7,0,1,0,0,0,21,0,0,8,0,0,0,0,0,0,0,30,0,27,0,10,0,40,0,0,0,0,102,4,4,18,2,87,42,23,11,20,27,16,0,0,0,6,0,0,45,18,0,54,88,4,13,0,0,13,0,0,0,0,0,0,3,0
"OTU_6395",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_929",125,0,35,10,0,0,0,0,0,8,0,0,18,0,0,4,0,0,0,0,3,0,58,0,50,0,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14,0,12,8,0,0,0,20,0,16,0,0,0,14,0,0,0,13,7,0,0,0,0
"OTU_409",0,4,0,0,0,0,24,218,1,0,5,10,1,18,0,7,0,298,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,11,22,0,0,0,0,0,0,0,6,0,0,0,2,0,0,59,0,0
"OTU_4330",0,1,0,1,0,3,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0
"OTU_704",0,23,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,3,6,0,0,0,0,26,0,0,0,24,0,0,0,28,0,4,0,0,0,19,0,0,1,8,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
"OTU_2295",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_970",0,0,0,0,0,0,0,0,0,41,0,10,25,0,0,0,0,0,0,50,36,0,0,0,11,0,2,0,0,0,11,0,48,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_962",0,0,10,0,1,0,0,6,0,2,4,16,0,5,0,0,0,0,2,11,0,0,9,0,6,5,12,2,11,5,17,0,0,8,0,4,0,5,0,1,4,0,4,0,3,1,0,2,10,28,34,8,9,12,2,9,38,33,27,7,39,7,0,28,13,13,0,0,0,0,5,0
"OTU_2260",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"OTU_956",0,0,0,4,0,20,24,0,15,0,13,0,0,18,0,0,0,0,15,0,0,28,0,5,0,0,0,37,0,14,0,9,0,7,11,18,74,38,43,15,14,77,39,47,9,6,14,0,0,0,0,51,15,16,15,0,0,0,0,1,12,0,0,17,31,0,19,25,0,39,0,0
"OTU_3362",60,29,24,313,12,67,0,2,3,0,7,0,9,27,1,2,0,10,0,2,9,183,3,20,0,0,1,263,0,12,31,33,0,4,33,1,69,96,21,74,14,5,4,15,22,32,51,6,0,33,89,61,29,17,0,1,0,6,73,0,74,20,0,0,0,30,43,20,0,8,0,0
"OTU_7005",0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
