"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_1308","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia diffluens "
"OTU_7766","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",""
"OTU_1072","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","",""
"OTU_4968","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","",""
"OTU_99","Fungi","","","","","",""
"OTU_5102","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","",""
"OTU_784","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Crocicreas",""
"OTU_2601","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","",""
"OTU_2061","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","",""
"OTU_651","Fungi","Ascomycota","Sordariomycetes","Hypocreales","","Acremonium","Acremonium fusidioides "
"OTU_371","Fungi","Ascomycota","Leotiomycetes","Helotiales","","",""
"OTU_790","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Septoriella","Septoriella oudemansii "
"OTU_1689","Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","","",""
"OTU_240","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","",""
"OTU_3087","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","","",""
"OTU_7311","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Sporidesmiella",""
"OTU_6816","Fungi","Ascomycota","Sordariomycetes","Sordariales","","",""
"OTU_6644","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Peroneutypa",""
"OTU_7018","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",""
"OTU_4219","Fungi","","","","","",""
"OTU_691","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","",""
"OTU_109","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Mrakia","Mrakia frigida "
"OTU_2886","Fungi","","","","","",""
"OTU_62","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neonectria","Neonectria candida "
"OTU_590","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina","Taphrina caerulescens "
"OTU_2496","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodosporidiobolus","Rhodosporidiobolus odoratus "
"OTU_1636","Fungi","Basidiomycota","Microbotryomycetes","","Chrysozymaceae","Chrysozyma",""
"OTU_436","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Neohelicomyces",""
"OTU_2002","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Biappendiculispora",""
"OTU_163","Fungi","","","","","",""
"OTU_1841","Fungi","Ascomycota","Sporormiaceae","Preussia","Preussia tenerifae ","",""
"OTU_1063","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella",""
"OTU_392","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia macrospinosa "
"OTU_754","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia restricta "
"OTU_255","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",""
"OTU_460","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Ganodermataceae","Ganoderma","Ganoderma applanatum "
"OTU_867","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Sclerostagonospora",""
"OTU_6305","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",""
"OTU_1202","Fungi","","","","","",""
"OTU_1810","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium",""
"OTU_7213","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","Keissleriella caraganae "
"OTU_2106","Fungi","","","","","",""
"OTU_5906","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma",""
