"","Sample0682","Sample0614","Sample0647","Sample0678","Sample0612","Sample0685","Sample0650","Sample0613","Sample0606","Sample0611","Sample0687","Sample0681","Sample0652","Sample0677","Sample0608","Sample0641","Sample0683","Sample0645","Sample0643","Sample0649","Sample0615","Sample0680","Sample0642","Sample0684","Sample0679","Sample0616","Sample0686","Sample0607","Sample0648","Sample0605","Sample0644","Sample0651","Sample0610","Sample0688","Sample0609","Sample0646","Sample0087","Sample0083","Sample0050","Sample0012","Sample0046","Sample0042","Sample0049","Sample0007","Sample0003","Sample0091","Sample0047","Sample0045","Sample0006","Sample0040","Sample0086","Sample0094","Sample0011","Sample0005","Sample0044","Sample0088","Sample0092","Sample0089","Sample0090","Sample0008","Sample0002","Sample0001","Sample0048","Sample0013","Sample0093","Sample0010","Sample0041","Sample0085","Sample0004","Sample0084","Sample0043","Sample0051"
"OTU_169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,4,14,0,0,0,4,0,0,0,0
"OTU_403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"OTU_14",2754,87,387,65,2293,209,238,119,8,6,1080,77,32,0,10737,310,6,339,5,170,591,26,392,0,34,6951,6,30,129,20,3,1,58,0,114,51,1416,179,0,0,5,0,0,0,12,25,3,0,15,0,32,14,9,6,4,398,0,2,302,0,1,10,33,0,8,20,0,5,1,0,0,0
"OTU_256",0,6,1,0,0,0,0,0,28,0,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_131",0,0,0,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,2,5,0,0,1,0,0,0,0
"OTU_373",0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_5156",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,1,0,0
"OTU_195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,42,23,21,13,0,0,0,0,0,0,0,0
"OTU_262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0
"OTU_7036",74,380,2732,0,24,8,42,0,47,0,15,208,0,0,90,2237,37,351,0,243,38,4,324,67,49,8670,0,0,374,0,0,0,0,0,29,16,0,2,0,24,0,1,0,0,11,0,30,0,0,0,23,3,11,15,89,0,2,73,0,0,33,9,9,6,3,0,0,13,0,8,0,0
"OTU_49",373,0,717,0,0,14,1217,199,2126,449,1282,0,0,171,196,0,0,1,48,0,1084,0,6039,0,6,365,0,62,0,681,0,6,744,0,0,0,43,3,263,0,7,29,96,0,40,58,24,23,12,16,26,67,75,17,0,46,26,10,335,0,15,36,4,2,3,69,1,1,0,0,0,0
"OTU_387",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
