OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1416	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Russulales_1	Peniophoraceae_1	Peniophora_1	
OTU_1417	Fungi_1	Basidiomycota_1	Agaricostilbomycetes_1	Agaricostilbales_1	Kondoaceae_1	Kondoa_1	Kondoa yuccicola 
OTU_1418	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Pyrenophora_1	Pyrenophora avenicola 
OTU_1419	Fungi_1	Ascomycota_1	Lecanoromycetes_1				
OTU_1420	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Lentitheciaceae_1	Keissleriella_1	Keissleriella poagena 
OTU_1421	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Neoantennariellaceae_1		
OTU_1422	Fungi_1	Ascomycota_1					
OTU_1423	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Lentitheciaceae_1		
OTU_1424	Fungi_1	Ascomycota_1	Dothideomycetes_1	Mycosphaerellales_1	Mycosphaerellaceae_1	Pseudocercospora_1	
OTU_1425	Fungi_1	Ascomycota_1	Pezizomycetes_1	Pezizales_1	Tuberaceae_1	Tuber_1	Tuber lyonii 
OTU_1426	Fungi_1	Ascomycota_1	Leotiomycetes_1	Erysiphales_1	Erysiphaceae_1	Sawadaea_1	Sawadaea bicornis 
OTU_1427	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1			
OTU_1428	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Polyporales_1	Polyporaceae_1	Perenniporia_1	Perenniporia subacida 
OTU_1429	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1	Helotiaceae_1	Hymenoscyphus_1	
OTU_1430	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1		
OTU_1431	Fungi_1	Ascomycota_1	Sordariomycetes_1	Phomatosporales_1	Phomatosporaceae_1	Phomatospora_1	Phomatospora biseriata 
OTU_1432	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Auriculariales_1		Oliveonia_1	
OTU_1433	Fungi_1	Ascomycota_1	Leotiomycetes_1	Erysiphales_1	Erysiphaceae_1	Podosphaera_1	Podosphaera filipendulensis 
OTU_1434	Fungi_1						
OTU_1435	Fungi_1	Ascomycota_1	Dothideomycetes_1	Botryosphaeriales_1	Botryosphaeriaceae_1	Microdiplodia_1	
OTU_1436	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neosetophoma_1	
OTU_1437	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Alternaria_1	
OTU_1438	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neosetophoma_1	
OTU_1439	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Alternaria_1	
OTU_1440	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Alternaria_1	
OTU_1441	Fungi_1	Basidiomycota_1	Microbotryomycetes_1		Chrysozymaceae_1		
OTU_1442	Fungi_1	Ascomycota_1	Lecanoromycetes_1	Trapeliales_1	Phlyctidaceae_1	Phlyctis_1	
OTU_1443	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Russulales_1	Stereaceae_1	Stereum_1	Stereum sanguinolentum 
OTU_1444	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Curvularia_1	
OTU_1445	Fungi_1						
OTU_1446	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleraceae_1	Genolevuria_1	
OTU_1447	Fungi_1	Ascomycota_1	Sordariomycetes_1	Sordariales_1	Chaetomiaceae_1		
OTU_1448	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Tremellaceae_1	Cryptococcus_1	
OTU_1449	Fungi_1						
OTU_1450	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1			
OTU_1451	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Clavicipitaceae_1	Claviceps_1	Claviceps purpurea 
OTU_1452	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleraceae_1	Genolevuria_1	
OTU_1453	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Dissoconiaceae_1	Ramichloridium_1	Ramichloridium cucurbitae 
OTU_1454	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neosetophoma_1	
OTU_1455	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Cantharellales_1	Botryobasidiaceae_1	Botryobasidium_1	
OTU_1456	Fungi_1	Ascomycota_1					
OTU_1457	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Cladosporiaceae_1	Toxicocladosporium_1	Toxicocladosporium irritans 
OTU_1458	Fungi_1						
OTU_1459	Fungi_1	Ascomycota_1	Lecanoromycetes_1	Ostropales_1	Stictidaceae_1	Glomerobolus_1	
OTU_1460	Fungi_1						
OTU_1461	Fungi_1	Basidiomycota_1	Cystobasidiomycetes_1		Buckleyzymaceae_1	Buckleyzyma_1	
OTU_1462	Fungi_1	Ascomycota_1					
OTU_1463	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Cantharellales_1	Hydnaceae_1	Sistotrema_1	
OTU_1464	Fungi_1						
OTU_1465	Fungi_1	Basidiomycota_1	Microbotryomycetes_1	Leucosporidiales_1	Leucosporidiaceae_1	Leucosporidium_1	Leucosporidium escuderoi 
OTU_1466	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Stachybotryaceae_1	Myrothecium_1	
OTU_1467	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Eurotiales_1	Aspergillaceae_1	Aspergillus_1	
OTU_1468	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Phaeosphaeria_1	
OTU_1469	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1			
OTU_1470	Fungi_1	Basidiomycota_1	Exobasidiomycetes_1	Entylomatales_1	Entylomataceae_1	Tilletiopsis_1	Tilletiopsis lilacina 
OTU_1471	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Septoriella_1	
OTU_1472	Fungi_1	Basidiomycota_1	Microbotryomycetes_1	Leucosporidiales_1	Leucosporidiaceae_1	Leucosporidium_1	Leucosporidium fragarium 
OTU_1473	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Cladosporiaceae_1	Cladosporium_1	Cladosporium subuliforme 
OTU_1474	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Sebacinales_1	Serendipitaceae_1	Serendipita_1	
OTU_1475	Fungi_1	Ascomycota_1	Pezizomycetes_1	Pezizales_1	Ascobolaceae_1	Ascobolus_1	
OTU_1476	Fungi_1	Ascomycota_1	Leotiomycetes_1	Thelebolales_1	Pseudeurotiaceae_1		
OTU_1477	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Lophiostomataceae_1	Lophiostoma_1	
OTU_1478	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1		
OTU_1479	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Dioszegia_1	
OTU_1480	Fungi_1	Ascomycota_1	Sordariomycetes_1	Chaetosphaeriales_1	Chaetosphaeriaceae_1	Menispora_1	
OTU_1481							
OTU_1482	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neosetophoma_1	
OTU_1483	Fungi_1	Ascomycota_1	Dothideomycetes_1	Venturiales_1	Venturiaceae_1	Venturia_1	
OTU_1484	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Dissoconiaceae_1		
OTU_1485	Fungi_1	Ascomycota_1					
OTU_1486	Fungi_1	Ascomycota_1	Leotiomycetes_1	Helotiales_1			
OTU_1487	Fungi_1						
OTU_1488	Fungi_1						
OTU_1489	Fungi_1	Ascomycota_1	Dothideomycetes_1	Teratosphaeriaceae_1			
OTU_1490	Fungi_1	Basidiomycota_1	Cystobasidiomycetes_1	Erythrobasidiales_1			
OTU_1491	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Vishniacozyma_1	
OTU_1492	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Dissoconiaceae_1	Dissoconium_1	
OTU_1493	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neosetophoma_1	
OTU_1494	Fungi_1						
OTU_1495	Fungi_1	Ascomycota_1					
OTU_1496	Fungi_1	Ascomycota_1	Dothideomycetes_1	Mycosphaerellales_1	Teratosphaeriaceae_1		
OTU_1497	Fungi_1						
OTU_1498	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Omphalotaceae_1	Gymnopus_1	
OTU_1499	Fungi_1	Ascomycota_1	Leotiomycetes_1	Erysiphales_1	Erysiphaceae_1	Podosphaera_1	Podosphaera leucotricha 
OTU_1500	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Polyporales_1	Polyporaceae_1	Polyporus_1	Polyporus varius 
OTU_1501	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Phaeosphaeria_1	
OTU_1502	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1			
OTU_1503	Fungi_1	Chytridiomycota_1	Spizellomycetes_1	Spizellomycetales_1			
OTU_1504	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Hannaella_1	
OTU_1505	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Russulales_1	Auriscalpiaceae_1	Artomyces_1	Artomyces pyxidatus 
OTU_1506	Fungi_1	Ascomycota_1	Sordariomycetes_1	Coniochaetales_1	Coniochaetaceae_1	Coniochaeta_1	Coniochaeta lignicola 
OTU_1507	Fungi_1	Ascomycota_1	Leotiomycetes_1	Rhytismatales_1			
OTU_1508	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Corticiales_1	Punctulariaceae_1	Punctularia_1	Punctularia strigosozonata 
OTU_1509	Fungi_1	Ascomycota_1	Sordariomycetes_1	Xylariales_1	Apiosporaceae_1	Apiospora_1	Apiospora qinlingensis 
OTU_1510	Fungi_1	Basidiomycota_1	Pucciniomycetes_1	Pucciniales_1	Pucciniaceae_1	Uromyces_1	
OTU_1511	Fungi_1	Basidiomycota_1	Cystobasidiomycetes_1	Cystobasidiales_1	Cystobasidiaceae_1	Cystobasidium_1	Cystobasidium minuta 
OTU_1512	Fungi_1	Ascomycota_1	Dothideomycetes_1	Venturiales_1	Venturiaceae_1		
OTU_1513	Fungi_1	Ascomycota_1	Dothideomycetes_1	Acrospermales_1	Acrospermaceae_1	Acrospermum_1	
OTU_1514	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Periconiaceae_1	Periconia_1	
OTU_1515	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Cantharellales_1	Ceratobasidiaceae_1		
OTU_1516	Fungi_1	Ascomycota_1	Sordariomycetes_1	Diaporthales_1	Gnomoniaceae_1	Ophiognomonia_1	Ophiognomonia hiawathae 
OTU_1517	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Tremellales_1	Bulleribasidiaceae_1	Vishniacozyma_1	
