OTU,Genus,PRIMARY TROPHIC GUILD
OTU_5953,Murispora,wood_saprotroph
OTU_4571,Fusarium,plant_pathogen
OTU_6630,#N/A,#N/A
OTU_4741,Lecania,lichenized
OTU_5499,#N/A,#N/A
OTU_5500,#N/A,#N/A
OTU_6276,Neosetophoma,litter_saprotroph
OTU_4910,#N/A,#N/A
OTU_7102,Eutypa,plant_pathogen
OTU_5129,Ramularia,plant_pathogen
OTU_4216,#N/A,#N/A
OTU_5403,#N/A,#N/A
OTU_7068,Blakeslea,soil_saprotroph
OTU_3577,Colletotrichum,plant_pathogen
OTU_6958,Parasarocladium,0
OTU_3989,#N/A,#N/A
OTU_7075,#N/A,#N/A
OTU_6442,#N/A,#N/A
OTU_4642,Paraphaeosphaeria,wood_saprotroph
OTU_7191,#N/A,#N/A
OTU_4100,Parastagonospora,plant_pathogen
OTU_4798,#N/A,#N/A
OTU_5297,#N/A,#N/A
OTU_5515,Alternaria,plant_pathogen
OTU_6271,Microscypha,litter_saprotroph
OTU_2894,Candida,nectar/tap_saprotroph
OTU_2911,#N/A,#N/A
OTU_4125,Neosetophoma,litter_saprotroph
OTU_3074,#N/A,#N/A
OTU_7530,#N/A,#N/A
OTU_4848,Pyrenochaeta,wood_saprotroph
OTU_4516,#N/A,#N/A
OTU_6159,#N/A,#N/A
OTU_4675,Myrmecridium,soil_saprotroph
OTU_3970,Calycina,wood_saprotroph
OTU_4069,Taphrina,plant_pathogen
OTU_5928,Peniophora,wood_saprotroph
OTU_4303,Talaromyces,unspecified_saprotroph
OTU_7054,#N/A,#N/A
OTU_7027,#N/A,#N/A
OTU_6943,Sporobolomyces,mycoparasite
OTU_5637,Pseudoarthrographis,plant_pathogen
OTU_4270,#N/A,#N/A
OTU_5411,Pseudolophiostoma,wood_saprotroph
OTU_5542,Neosetophoma,litter_saprotroph
OTU_5736,Lophiostoma,wood_saprotroph
OTU_5244,Diaporthe,plant_pathogen
OTU_4442,#N/A,#N/A
OTU_5849,Colletotrichum,plant_pathogen
OTU_5957,#N/A,#N/A
OTU_2968,#N/A,#N/A
OTU_7695,Alternaria,plant_pathogen
OTU_7844,#N/A,#N/A
OTU_4214,Apiospora,plant_pathogen
OTU_6154,#N/A,#N/A
OTU_5634,Neosetophoma,litter_saprotroph
OTU_7220,#N/A,#N/A
OTU_3744,#N/A,#N/A
